N,Bit,Message,Hashes,Cycle pos,Cycle Node
64,8,d4f3C5,7,6,3C
64,8,dC07AC,5,4,3C
64,8,93E011,6,5,3C
64,8,cEe4c9,8,7,3C
64,8,60BdBe,11,10,3C
64,8,F4ED59,10,9,3C
64,16,c63dfa,153,100,303F
64,16,f0355b,83,30,2F29
64,16,77eD4d,83,30,2F29
64,16,0f5ad3,94,41,303F
64,16,AbEECF,175,122,303F
64,16,6fe16F,73,20,2F29
64,24,A8b4A4,190,116,103C33
64,24,16daaC,810,736,372A2B
64,24,c7fBeB,495,421,372A2B
64,24,1D1BEA,659,426,2A0B08
64,24,08d364,273,40,330034
64,24,5c3eCc,173,99,1A3521
128,8,4BBeDb,13,6,27
128,8,96cEDF,16,9,59
128,8,2BA46b,15,8,27
128,8,1Cb89B,15,8,27
128,8,Ecfd9e,13,6,27
128,8,ECf854,7,0,6F
128,16,Cfec3F,208,43,302C
128,16,3f4F6b,199,34,0D46
128,16,3c27C2,209,44,302C
128,16,EFddEb,200,35,0529
128,16,F2e5E7,65,13,626D
128,16,b5e4E1,181,37,3C17
128,24,8Ded9b,461,19,346D41
128,24,8fC06c,1304,788,171036
128,24,8FFDcC,946,434,2A3208
128,24,7d2EEd,807,295,28046A
128,24,0F1F83,534,460,71506F
128,24,D1e012,762,250,6D7702
256,8,d002a0,22,7,91
256,8,Da8DA6,28,23,AF
256,8,641eC5,27,22,AF
256,8,c07B43,22,7,99
256,8,A36FCC,25,10,91
256,8,6F5B56,9,4,10
256,16,dea868,231,4,FD01
256,16,9b5b3d,244,17,1602
256,16,A4635a,270,84,A6B1
256,16,2FdF05,276,49,C476
256,16,E68AFC,345,159,C9BE
256,16,68a24B,248,62,6979
256,24,9Cb9eE,4053,2825,08FAB4
256,24,78bCF5,3434,2206,08FAB4
256,24,CbE82e,2692,1464,487643
256,24,8579DF,5657,4429,487643
256,24,3b218a,5264,4036,487643
256,24,ea33F0,4968,4336,F747C1
